field_1,clust,lden,den,ID,Lat,Lon,depth,HDI,Voice,Population,Country_number,Code,Grav_tot,2010_regpop_mean,2020_regpop_mean,reg_pop_growth,SCORE,RATING,Productivity_mean,Landings,Tourism
0,1,-0.130682382,0.6,1,-0.0111,27.18179,1,0.703666667,0.158765733,264621182.3,0,IDN,221,151.5912907,228.9624241,77.3711334,0,none,65535,845.6260518,7003000
1,2,0.048790164,0.75,2,-0.0358333,119.795,0,0.652,-0.03082672,235523409.4,0,IDN,39,1643.231184,2047.344148,404.1129642,0,none,63818.44405,845.6260518,7003000
2,3,0.182321557,1,3,-0.0366667,119.743,0,0.652,-0.03082672,235523409.4,0,IDN,39,1655.907771,2063.515161,407.6073895,0,none,54807.59618,845.6260518,7003000
3,4,0.667457247,1.75,4,-0.04,-91.52,0,0.708,-0.22374596,14535444.2,1,ECU,0,4.123431565,5.74521725,1.621785685,3,Not Effective,1125.662119,584.0653199,1047000
4,5,0.674036574,2.8,6,-0.05,-91.54,0,0.708,-0.22374596,14535444.2,1,ECU,0,4.010920562,5.588454564,1.577534001,3,Not Effective,1125.041674,584.0653199,1047000
5,6,0.599228812,1.625,9,-0.103611,119.773,0,0.652,-0.03082672,235523409.4,0,IDN,46,1629.007639,2036.172458,407.1648185,0,none,64405.84148,845.6260518,7003000
6,7,1.398716881,3.75,10,-0.132306,100.357,0,0.6222,-0.237165575,220333965,0,IDN,385,2950.93617,3562.101874,611.165704,0,none,65535,845.6260518,7003000
7,8,0.048790164,0.75,11,-0.146556,119.806,0,0.6222,-0.237165575,220333965,0,IDN,46,1605.291221,2009.137596,403.8463752,0,none,65535,845.6260518,7003000
8,9,0.09531018,0.8,12,-0.1787,127.14337,1,0.703666667,0.158765733,264621182.3,0,IDN,9,569.6892167,848.8068044,279.1175878,0,none,432.4819574,845.6260518,7003000
9,10,0.539204791,1.625,13,-0.202111,99.7426,0,0.6222,-0.237165575,220333965,0,IDN,535,2947.202412,3378.211756,431.009344,0,none,33198.5,845.6260518,7003000
