clust,lden,den,ID,Lat,Lon,depth,Country_number,Code,Grav_tot,reg_pop_growth,MPA_SCORE,RATING,Productivity_mean
1,-0.130682382,0.6,1,-0.0111,27.18179,1,0,IDN,221,77.3711334,0,none,65535
2,0.048790164,0.75,2,-0.0358333,119.795,0,0,IDN,39,404.1129642,0,none,63818.44405
3,0.182321557,1,3,-0.0366667,119.743,0,0,IDN,39,407.6073895,0,none,54807.59618
4,0.667457247,1.75,4,-0.04,-91.52,0,1,ECU,0,1.621785685,3,Not Effective,1125.662119
5,0.674036574,2.8,6,-0.05,-91.54,0,1,ECU,0,1.577534001,3,Not Effective,1125.041674
6,0.599228812,1.625,9,-0.103611,119.773,0,0,IDN,46,407.1648185,0,none,64405.84148
7,1.398716881,3.75,10,-0.132306,100.357,0,0,IDN,385,611.165704,0,none,65535
8,0.048790164,0.75,11,-0.146556,119.806,0,0,IDN,46,403.8463752,0,none,65535
9,0.09531018,0.8,12,-0.1787,127.14337,1,0,IDN,9,279.1175878,0,none,432.4819574
10,0.539204791,1.625,13,-0.202111,99.7426,0,0,IDN,535,431.009344,0,none,33198.5
11,0.368582033,1.2,14,-0.23,-90.59,0,1,ECU,0,15.25703381,3,Not Effective,1633.715176
12,1.360976553,3.6,20,-0.27,-91.37,1,1,ECU,0,3.695367246,0,none,4086.881829
13,0.024395082,0.8,19,-0.26,-91.44,0.5,1,ECU,0,3.518495668,3,Not Effective,1387.517591
14,0.238117089,1.2,23,-0.28,-90.54,0.5,1,ECU,0,15.56846519,3,Not Effective,8323.028848
15,0.09531018,0.8,25,-0.31,-91.35,0,1,ECU,0,3.786461451,0,none,9765.230243
16,0.787423234,2.6,33,-0.3,-91.65,1,1,ECU,0,3.362905058,3,Not Effective,1173.46824
17,0.502150805,2,30,-0.37,-91.38,0.5,1,ECU,0,3.749040005,3,Not Effective,2399.70819
18,-0.130682382,0.6,34,-0.41478,127.10951,1,0,IDN,11,246.7957893,0,none,21186.39501
19,-0.356674944,0.4,35,-0.42,130.57,0,0,IDN,5,194.6760622,3,Not Effective,65535
20,-0.356674944,0.4,37,-0.45,130.7,1,0,IDN,5,270.3123723,3,Not Effective,58935.87781
21,-0.356674944,0.4,39,-0.49,130.66,0,0,IDN,5,263.4367811,0,none,56286.38705
22,-0.130682382,0.6,40,-0.51,130.45,0.5,0,IDN,6,132.0113862,3,Not Effective,65535
23,0.024395082,0.8,43,-0.51,130.74,1,0,IDN,5,280.1114439,3,Not Effective,36825.49801
24,-0.105360516,0.6,47,-0.54,130.25,1,0,IDN,3,35.21936701,0,none,27958.17645
25,-0.356674944,0.4,48,-0.54,130.63,1,0,IDN,5,262.0562658,3,Not Effective,55845.20904
26,-0.356674944,0.4,49,-0.54,130.69,1,0,IDN,5,276.9410674,3,Not Effective,39755.42898
27,-0.356674944,0.4,51,-0.563583,130.519,1,0,IDN,4,205.5227655,3,Not Effective,65535
28,-0.180850056,0.55,60,-0.58,130.64,1,0,IDN,5,269.6713285,3,Not Effective,49576.70298
29,-0.166139931,0.6,59,-0.58,130.55,1,0,IDN,5,230.9817335,3,Not Effective,65535
30,-0.243678663,0.5,61,-0.59,130.3,1,0,IDN,3,42.21266752,0,none,32036.1162
31,0.185734211,1.3,63,-0.59,130.58,1,0,IDN,5,250.9932075,3,Not Effective,65523.15861
32,0.46417848,1.3125,67,-0.642139,119.736,0.5,0,IDN,348,451.3733348,0,none,53936.24916
33,0.142589471,1,77,-0.7,-91.33,0,1,ECU,0,4.073966524,3,Not Effective,24607.05221
34,0.383314979,1.25,70,-0.721417,119.857,0,0,IDN,1317,448.7539707,0,none,65535
35,0.846626667,2.3,72,-0.72,-91.34,0,1,ECU,0,4.033031578,0,none,20070.13329
36,0.438254931,1.25,73,-0.735556,119.779,1,0,IDN,595,459.4007376,0,none,65298.42712
37,0.262364264,1,76,-0.76,-90.31,0,1,ECU,0,25.85862463,0,none,58217.38829
38,-0.23101773,0.5,78,-0.7,130.71,1,0,IDN,5,277.111304,0,Unrated,9684.366935
39,0.138105136,0.875,80,-0.811028,121.621,0,0,IDN,28,154.9347832,3,Not Effective,324.6097799
40,0.767357183,3,83,-0.853333,121.668,0,0,IDN,28,150.5780082,0,none,327.008363
41,-0.223143551,0.5,85,-0.894694,121.493,0,0,IDN,58,158.2169299,0,none,312.7036769
42,-0.393042588,0.375,86,-0.914722,121.663,0,0,IDN,37,149.8737473,0,none,330.3535652
43,-0.356674944,0.4,87,-0.96,131.15,0,0,IDN,2750,310.6490982,0,Unrated,2139.77376
44,-0.223143551,0.5,88,-0.992389,100.342,0,0,IDN,964,491.5962528,0,none,45693.63339
45,-0.067853775,0.65,92,-1.24,-90.4,1,1,ECU,0,31.75737017,3,Not Effective,21650.20383
46,0.250387644,1,91,-1.23,-90.47,0.5,1,ECU,0,29.58958781,3,Not Effective,22005.39256
47,0.543616898,1.45,94,-1.25,-90.37,0,1,ECU,0,32.8546994,3,Not Effective,18939.99363
48,0.09531018,0.8,101,-1.28,-81.08,1,1,ECU,36,440.0415339,0,none,959.065506
49,0.967929907,2.4,102,-1.29,-90.5,0.5,1,ECU,0,30.80124099,3,Not Effective,36046.06588
50,0.405465108,1.2,103,-1.31,-90.34,1,1,ECU,0,36.83075886,0,none,22774.0023
51,0.916290732,3.3,108,-1.35,-89.66,0,1,ECU,0,75.05486447,3,Not Effective,706.4685047
52,0.238117089,1.2,106,-1.34,-90.3,1,1,ECU,0,40.7641419,3,Not Effective,11162.91743
53,0.617289573,1.7,114,-1.38,-89.62,1,1,ECU,0,78.66462708,3,Not Effective,689.9500617
54,-0.248833485,0.5,111,-1.38583,124.534,0.5,0,IDN,10,264.9847556,0,none,323.9955115
55,0.333914686,1.1,116,-1.47,-80.78,0,1,ECU,36,522.9777699,0,none,59943.82087
56,0.09531018,0.8,122,-1.5,-80.8,0,1,ECU,36,532.2119272,0,none,53440.15948
57,0.262364264,1,119,-1.4,-80.77,0,1,ECU,36,455.8968567,0,none,62598.82479
58,0.53011288,1.6,121,-1.59,-80.87,1,1,ECU,36,531.5942018,0,none,25488.23043
59,-0.274523418,0.5,123,-1.60111,124.768,1,0,IDN,9,283.1993577,0,none,3750.243881
60,0.723459491,1.8,125,-1.67,-80.83,1,1,ECU,36,650.9716913,0,none,41921.90003
61,-0.597837001,0.25,127,-1.90007,99.3128,0,0,IDN,30,16.33315002,0,Unrated,55092.10719
62,-0.243678663,0.5,128,-1.97,130.46,0,0,IDN,4,72.74128877,0,Unrated,15682.18441
63,-0.356674944,0.4,131,-10.04,144.69,0,2,AUS,1,0.01856175,0,none,334.7490372
64,0.279807894,1.3,132,-10.06,143.84,0,2,AUS,1,0.005592002,0,none,755.3378519
65,0.09531018,0.8,133,-10.06,143.88,0,2,AUS,1,0.006011402,0,none,690.007864
66,-0.356674944,0.4,136,-10.07,144.52,0,2,AUS,1,0.021539,0,none,378.5822918
67,0.641853886,1.6,137,-10.08,144.47,1,2,AUS,1,0.018846625,0,none,420.5
68,-0.243678663,0.5,139,-10.11,144.69,1,2,AUS,1,0.01856175,0,none,325.259719
69,0.403237933,1.5,140,-10.1225,51.145,0,3,SYC,1,-0.221847936,0,none,265.3910092
70,-0.201915142,0.55,142,-10.14,144.44,0,2,AUS,1,0.016752556,0,none,441.7123709
71,0.078501874,0.8,143,-10.14,144.57,0,2,AUS,1,0.021539,0,none,369.1142342
72,0.215891208,1.375,147,-10.1842,166.23,0,4,SLB,11,29.6294968,0,none,391.0464169
73,-0.167736368,0.625,158,-10.2083,166.287,1,4,SLB,8,28.80006418,0,none,333.88718
74,-0.356674944,0.4,153,-10.19,144.41,0,2,AUS,1,0.016752556,0,none,442.1889917
75,0.209149491,1,193,-10.2,40.14,1,5,TZA,203,124.8172894,0,none,9184.364618
76,0.182321557,1,160,-10.2294,166.255,0,4,SLB,8,29.7261397,0,none,366.7718056
77,-0.005025168,0.7,161,-10.22,144.59,1,2,AUS,1,0.01856175,0,none,427.2787236
78,0.111667757,1.05,163,-10.23,144.41,1,2,AUS,1,0.018846625,0,none,428.9422961
79,-0.356674944,0.4,165,-10.23,40.17,1,5,TZA,203,126.82335,0,none,1974.538815
80,-0.305663507,0.46875,172,-10.2513,166.294,1,4,SLB,8,28.79587767,0,none,326.7634244
81,-0.19543996,0.5625,173,-10.2517,166.256,1,4,SLB,8,29.62967415,0,none,365.7632207
82,0.627808019,1.7,179,-10.25,142.48,0,2,AUS,1,0.134294313,0,none,826.7730317
83,-0.356674944,0.4,191,-10.29,143.71,1,2,AUS,1,0.005950635,0,none,772.4349805
84,0.09531018,0.8,194,-10.31,40.39,1,5,TZA,39,131.9302974,3,Not Effective,4685.728356
85,-0.118021449,0.6,195,-10.32,132.71,1,2,AUS,0,0.001887686,0,none,421.5641094
86,-0.356674944,0.4,197,-10.37,144.53,1,2,AUS,1,0.01856175,0,none,422.9449068
87,-0.356674944,0.4,198,-10.38,143.93,1,2,AUS,1,0.00707224,0,none,560.4822245
88,-0.356674944,0.4,200,-10.3,144.52,1,2,AUS,1,0.0150546,0,none,467.2843393
89,0.336678771,1.15,204,-10.43,105.67,0.5,2,AUS,17,0.215623696,0,none,306.4302937
90,-0.356674944,0.4,205,-10.43,144.45,0,2,AUS,1,0.01856175,0,none,390.2523463
91,-0.356674944,0.4,214,-10.47,105.56,1,2,AUS,9,0.215623696,0,none,309.8499484
92,-0.076257928,0.65,211,-10.46,105.63,1,2,AUS,10,0.215623696,0,none,308.2990105
93,-0.356674944,0.4,213,-10.46,105.71,1,2,AUS,10,0.215623696,0,none,305.529936
