shared_ID,clust,lat,lon,median_vlaue,lden,Country_code,Phylum,Density,Depth,Grav,reg_pop_growth,Rating,Productivity
303,1537,28.38,-16.35,2.047677087,2.190090591,ESP,Mollusk,8.936022601,1,160,1.541790565,0,2547.417917
307,1559,29.22,-13.53,3.000151123,3.141994781,ESP,Mollusk,23.15000001,1,227,3808.440471,0,230.6356195
10,37,-0.76,-90.31,3.598936497,4.721618999,ECU,Echinoderm,112.35,0,0,25.85862463,0,58217.38829
48,271,-16.38,139.6,2.233815791,2.606386547,AUS,Echinoderm,13.55,0,0,0.000761956,0,901.5
50,288,-16.48,139.27,2.074119486,2.446685437,AUS,Echinoderm,11.55,0,4,0.101857134,2,403.8171246
65,376,-17.48,-39.03,2.259578476,2.830267834,BRA,Echinoderm,16.95,0,0,0.0000119,1,220.6592831
106,561,-20.55,116.63,2.547901246,2.920469789,AUS,Echinoderm,18.55,0,6,8.849343492,0,8007.465803
120,629,-21.96,152.43,2.819973257,3.19253185,AUS,Echinoderm,24.35000001,0,86,100.0766474,3,2242.475542
137,733,-28.1092,153.476,2.034370924,2.406945108,AUS,Echinoderm,11.1,0,6,0.020392619,2,584.884813
175,901,-8.30417,116.137,2.850924198,3.161246712,IDN,Echinoderm,23.6,0,16,217.867644,0,594.549034
193,990,1.79139,125.121,2.665201594,2.975529566,IDN,Echinoderm,19.6,1,1,3.047193138,0,1042.934156
199,1097,10.9249,119.338,3.990743116,5.112590017,PHL,Echinoderm,166.1000001,0,296,440.2520102,0,19912.02812
210,1204,12.2633,121.387,2.638774679,3.760618551,PHL,Echinoderm,42.97499999,1,209,376.7764922,0,65199.38722
218,1300,15.8764,-61.6017,3.584650558,4.753374651,FRA,Echinoderm,115.975,1,28613,351.8319533,0,6441.588381
221,1320,16.1384,-61.7757,2.064069616,3.23277873,FRA,Echinoderm,25.35,0,1451,4194.418117,0,55609.15268
222,1323,16.1751,-61.1056,2.034016307,3.202746443,FRA,Echinoderm,24.6,0,97,241.7084165,0,275.2619278
241,1431,18.4151,-77.1241,2.397087446,3.723643579,JAM,Echinoderm,41.41501843,0,330,154.369135,3,48708.32824
279,1719,26.610833,128.161944,2.758775069,3.326832966,JPN,Echinoderm,27.84999999,0,47,28.4655401,3,20115.90037
282,1727,26.731667,128.288333,2.664709903,3.23277873,JPN,Echinoderm,25.35,1,28,98.82429938,0,1620.732341
283,1736,27.2671,33.8878,2.077557022,2.493205453,EGY,Echinoderm,12.1,0,30,-0.317603594,1,932.1359154
315,1837,3.88561,73.4686,2.219335149,2.429217744,MDV,Echinoderm,11.35,1,254,52.06863779,0,32816.67806
333,2039,7.4,-81.66,2.715810607,4.093510881,PAN,Echinoderm,59.94999997,1,0,0,3,330.8220361
358,2119,9.29,-82.34,2.645259256,4.022965986,PAN,Echinoderm,55.86655977,0.5,116,232.1684815,0,19454.17511
359,2123,9.35,-82.26,3.248567672,4.626273624,PAN,Echinoderm,102.132769,0,15,171.3195311,0,661.158533
212,774,12.4506,-61.4944,2.518216414,3.072693315,GRD,Anthropod,21.60000001,0,6,0.007965811,0,20794.57219
278,1115,26.453889,128.129167,3.610536911,3.63363098,JPN,Anthropod,37.85,1,612,1235.288254,0,7065.788874
350,1357,8.58,-79.02,2.290269946,2.677590994,PAN,Anthropod,14.55000001,1,57,118.5418297,0,13739.28733
